location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop,population,white,black,asian,hispanic
North Carolina,2020-03-22,9.350102314351341,0,janssen,0.627,0.209,0.029,0.097,10488084,15.6989415751977,14.600329286529591,12.625290864551255,13.832706013068163
South Carolina,2020-03-22,8.648221453822641,0,janssen,0.637,0.262,0.017,0.057,5148714,15.003271909309664,14.114846757498597,11.379715597793716,12.58955352157205
Tennessee,2020-03-22,8.935903526274423,0,janssen,0.736,0.164,0.018,0.057,6829174,15.430189126937778,13.928825436033101,11.719330766105067,12.872010276043452
Illinois,2020-03-22,9.350102314351341,0,janssen,0.609,0.136,0.056,0.176,12671821,15.858954256033023,14.359790874059179,13.472487679058275,14.617619983361278
Indiana,2020-03-22,8.922658299524402,0,janssen,0.786,0.092,0.024,0.072,6732219,15.481616878405072,13.336448663024905,11.99271391632381,13.09132620499192
Michigan,2020-03-22,9.341368634382587,0,janssen,0.749,0.134,0.032,0.053,9986857,15.827764191043643,14.106865007477335,12.67476111032615,13.179317121078546
Minnesota,2020-03-22,8.748304912379623,0,janssen,0.791,0.064,0.049,0.056,5639632,15.31087206190405,12.796457177496068,12.529394392247022,12.662925784871545
Ohio,2020-03-22,9.487972108574462,0,janssen,0.786,0.122,0.023,0.04,11689100,16.033368855052142,14.17043310735619,12.501906278552084,13.05529151673687
Wisconsin,2020-03-22,8.809862805379057,0,janssen,0.811,0.062,0.03,0.071,5822434,15.367741720472608,12.796608051402288,12.070671048019351,12.932153543398512
Arkansas,2020-03-22,8.131530710604252,0,janssen,0.721,0.152,0.016,0.078,3017804,14.592923830832506,13.036165214393833,10.784873415787338,12.368993520237149
Louisiana,2020-03-22,8.556413904569519,0,janssen,0.588,0.319,0.017,0.052,4648794,14.821090058003037,14.209554212889255,11.277576454160625,12.395606828685837
New Mexico,2020-03-22,7.783224016336037,0,janssen,0.367,0.017,0.016,0.495,2096829,13.553543330567132,10.48139482656878,10.420770204752344,13.852739245081253
Oklahoma,2020-03-22,8.389359819906353,0,janssen,0.65,0.069,0.021,0.111,3956971,14.76020647546382,12.517340617171396,11.32775655029756,12.99276431388647
Texas,2020-03-22,10.31559720336296,0,janssen,0.411,0.117,0.05,0.4,28995881,16.293502278894234,15.037082999195757,14.186932069826145,16.266373611505983
Iowa,2020-03-22,8.1886891244442,0,janssen,0.853,0.039,0.023,0.063,3155070,14.80552550922562,11.720327607863586,11.192260177663089,12.199900688125473
Kansas,2020-03-22,8.101677747454572,0,janssen,0.757,0.055,0.028,0.122,2913314,14.606409797241295,11.984379729036316,11.30925105397905,12.781067588537102
Missouri,2020-03-22,8.83927669058535,0,janssen,0.794,0.112,0.021,0.043,6137428,15.399244502120204,13.440659912168163,11.766683478596493,12.483361156566632
Nebraska,2020-03-22,7.696212639346407,0,janssen,0.785,0.048,0.024,0.113,1934408,14.233240333283682,11.438757626409163,10.74561044584922,12.294944434213614
Colorado,2020-03-22,8.748304912379623,0,janssen,0.678,0.038,0.032,0.218,5758736,15.177620573104432,12.296059444890423,12.124209187963764,14.042968347953126
Montana,2020-03-22,7.090076835776092,0,janssen,0.861,0.006,0.008,0.037,1068778,13.732365723165927,8.766030687966252,9.053712760418032,10.585189131382421
North Dakota,2020-03-22,6.802394763324311,0,janssen,0.841,0.024,0.014,0.04,762062,13.370619577179053,9.81408174755405,9.275085246821362,10.324907371320041
South Dakota,2020-03-22,6.907755278982137,0,janssen,0.819,0.022,0.013,0.037,884659,13.493286343875281,9.876244713380528,9.350151617483748,10.396120172666436
Utah,2020-03-22,8.070906088787819,0,janssen,0.778,0.01,0.023,0.144,3205958,14.729492756825397,10.375351325641052,11.208260448576155,13.042579532223007
Wyoming,2020-03-22,6.551080335043404,0,janssen,0.838,0.01,0.006,0.101,578759,13.091904256517555,8.663471249029516,8.152645625263526,10.976006672876732
Arizona,2020-03-22,8.974618038455112,0,janssen,0.542,0.043,0.033,0.318,7278717,15.187975890835206,12.653910005089122,12.389217450862041,14.654761272175737
California,2020-03-22,10.691944912900398,0,janssen,0.364,0.053,0.147,0.395,39512223,16.481519213696306,14.554657259611687,15.574797932838301,16.56325111096069
Hawaii,2020-03-22,7.438383530044307,0,janssen,0.204,0.012,0.394,0.103,1415872,12.573620868531737,9.740407524475522,13.231851783985455,11.890229862917158
